,DC_Healthy,DC_Severe,Epithelial_2_Healthy,Epithelial_2_Severe
AC069360.1,NaN,NaN,NaN,NaN
AC069368.1,NaN,NaN,NaN,NaN
AC069431.1,NaN,NaN,NaN,NaN
AC069437.1,NaN,NaN,NaN,NaN
AC069439.2,NaN,NaN,NaN,NaN
AC069444.1,NaN,NaN,NaN,NaN
AC069503.1,NaN,NaN,NaN,NaN
AC069503.2,NaN,NaN,NaN,NaN
AC069503.3,NaN,NaN,NaN,NaN
AC069540.2,NaN,NaN,NaN,NaN
AC069542.1,NaN,NaN,NaN,NaN
AC069544.1,NaN,NaN,NaN,NaN
AC069549.1,NaN,NaN,NaN,NaN
AC072022.1,NaN,NaN,NaN,NaN
AC072039.2,NaN,NaN,NaN,NaN
AC072061.1,NaN,NaN,NaN,NaN
AC072062.1,NaN,NaN,NaN,NaN
AC073023.1,NaN,NaN,NaN,NaN
AC073046.1,NaN,NaN,NaN,NaN
AC073050.1,NaN,NaN,NaN,NaN
AC073052.2,NaN,NaN,NaN,NaN
AC073062.1,NaN,NaN,NaN,NaN
AC073071.1,NaN,NaN,NaN,NaN
AC073072.1,NaN,NaN,NaN,NaN
AC073073.2,NaN,NaN,NaN,NaN
AC073082.1,NaN,NaN,NaN,NaN
AC073094.1,NaN,NaN,NaN,NaN
AC073111.1,NaN,NaN,NaN,NaN
AC073111.3,NaN,NaN,NaN,NaN
AC073111.5,2.780895815,NaN,NaN,4.073004706
AC073115.1,NaN,NaN,NaN,NaN
AC073115.2,NaN,NaN,NaN,NaN
AC073127.1,NaN,NaN,NaN,NaN
AC073130.2,NaN,NaN,NaN,NaN
AC073133.1,NaN,NaN,NaN,NaN
AC073133.2,NaN,NaN,NaN,NaN
AC073167.1,NaN,NaN,NaN,NaN
AC073172.1,NaN,NaN,NaN,NaN
AC073172.2,NaN,NaN,NaN,NaN
AC073174.1,NaN,NaN,NaN,NaN
AC073176.1,NaN,NaN,NaN,NaN
AC073176.2,NaN,NaN,NaN,NaN
AC073176.3,NaN,NaN,NaN,NaN
AC073188.2,NaN,NaN,NaN,NaN
AC073188.3,NaN,NaN,NaN,NaN
AC073188.4,NaN,NaN,NaN,NaN
AC073188.5,NaN,NaN,NaN,NaN
AC073195.1,NaN,NaN,NaN,NaN
AC073218.1,NaN,NaN,NaN,NaN
AC073218.2,NaN,NaN,NaN,NaN
AC073254.1,NaN,NaN,NaN,NaN
AC073257.1,NaN,NaN,NaN,NaN
AC073257.2,NaN,NaN,NaN,NaN
AC073263.1,NaN,NaN,NaN,NaN
AC073263.2,NaN,NaN,NaN,NaN
AC073283.1,NaN,NaN,NaN,NaN
AC073283.2,NaN,NaN,NaN,NaN
AC073283.3,NaN,NaN,NaN,NaN
AC073284.1,NaN,NaN,NaN,NaN
AC073288.1,NaN,NaN,NaN,NaN
AC073288.2,NaN,NaN,NaN,NaN
AC073311.1,NaN,NaN,NaN,NaN
AC073314.1,NaN,NaN,NaN,NaN
AC073316.1,NaN,NaN,NaN,NaN
AC073316.2,NaN,NaN,NaN,NaN
AC073316.3,NaN,NaN,NaN,NaN
AC073320.1,NaN,NaN,NaN,NaN
AC073321.1,NaN,NaN,NaN,NaN
AC073323.1,NaN,NaN,NaN,NaN
AC073325.1,NaN,NaN,NaN,NaN
AC073332.1,NaN,NaN,NaN,NaN
AC073333.1,NaN,NaN,NaN,NaN
AC073335.2,NaN,NaN,NaN,NaN
AC073336.1,NaN,NaN,NaN,NaN
AC073342.1,NaN,NaN,NaN,NaN
AC073342.2,NaN,NaN,NaN,NaN
AC073343.2,NaN,NaN,NaN,NaN
AC073349.1,NaN,NaN,NaN,NaN
AC073352.1,NaN,NaN,NaN,NaN
AC073352.2,NaN,NaN,NaN,NaN
AC073359.1,NaN,NaN,NaN,NaN
AC073359.2,NaN,NaN,NaN,NaN
AC073365.1,NaN,NaN,NaN,NaN
AC073370.1,NaN,NaN,NaN,NaN
AC073389.1,NaN,NaN,NaN,NaN
AC073389.2,NaN,NaN,NaN,NaN
AC073389.3,NaN,NaN,NaN,NaN
AC073409.1,NaN,NaN,NaN,NaN
AC073429.1,NaN,NaN,NaN,NaN
AC073429.2,NaN,NaN,NaN,NaN
AC073486.1,NaN,NaN,NaN,NaN
AC073508.2,NaN,NaN,NaN,NaN
AC073508.3,NaN,NaN,NaN,NaN
AC073517.1,NaN,NaN,NaN,NaN
AC073521.1,NaN,NaN,NaN,NaN
AC073525.1,NaN,NaN,NaN,NaN
AC073529.1,NaN,NaN,NaN,NaN
AC073530.1,NaN,NaN,NaN,NaN
AC073534.2,NaN,NaN,NaN,NaN
AC073539.1,NaN,NaN,NaN,NaN
AC073539.3,NaN,NaN,NaN,NaN
AC073569.1,NaN,NaN,NaN,NaN
AC073569.2,NaN,NaN,NaN,NaN
AC073571.1,NaN,NaN,NaN,NaN
AC073573.1,NaN,NaN,NaN,NaN
AC073575.1,NaN,NaN,NaN,NaN
AC073575.2,NaN,NaN,NaN,NaN
AC073578.1,NaN,NaN,NaN,NaN
AC073578.2,NaN,NaN,NaN,NaN
AC073591.1,NaN,NaN,NaN,NaN
AC073592.1,NaN,NaN,NaN,NaN
AC073610.2,NaN,NaN,NaN,NaN
AC073610.3,NaN,NaN,NaN,NaN
AC073611.1,NaN,NaN,NaN,4.073004706
AC073612.1,NaN,NaN,NaN,NaN
AC073626.1,NaN,NaN,NaN,NaN
AC073636.1,NaN,NaN,NaN,NaN
AC073641.1,NaN,NaN,NaN,NaN
AC073651.1,NaN,NaN,NaN,NaN
AC073655.1,NaN,NaN,NaN,NaN
AC073655.2,NaN,NaN,NaN,NaN
AC073657.1,NaN,NaN,NaN,NaN
AC073834.1,NaN,NaN,NaN,NaN
AC073842.1,NaN,NaN,NaN,NaN
AC073842.2,NaN,NaN,NaN,NaN
AC073848.1,NaN,NaN,NaN,NaN
AC073862.1,NaN,NaN,NaN,NaN
AC073863.1,NaN,NaN,NaN,NaN
AC073864.1,NaN,NaN,NaN,NaN
AC073869.3,NaN,NaN,NaN,NaN
AC073869.5,NaN,NaN,NaN,NaN
AC073878.1,NaN,NaN,NaN,NaN
AC073878.2,NaN,NaN,NaN,NaN
AC073896.1,NaN,NaN,NaN,NaN
AC073896.2,3.773252882,3.309588418,NaN,NaN
AC073896.3,NaN,NaN,NaN,NaN
AC073896.5,NaN,NaN,NaN,NaN
AC073911.1,NaN,NaN,NaN,NaN
AC073912.1,NaN,NaN,NaN,NaN
AC073912.2,NaN,NaN,NaN,NaN
AC073934.1,NaN,NaN,NaN,NaN
AC073941.1,NaN,NaN,NaN,NaN
AC073957.1,NaN,NaN,NaN,NaN
AC073957.2,NaN,NaN,NaN,NaN
AC073957.3,NaN,NaN,NaN,NaN
AC073987.1,NaN,NaN,NaN,NaN
AC074011.1,NaN,NaN,NaN,NaN
AC074029.3,NaN,NaN,NaN,NaN
AC074031.1,NaN,NaN,NaN,NaN
AC074032.1,2.771402285,NaN,NaN,NaN
AC074033.1,NaN,NaN,NaN,NaN
AC074035.1,NaN,NaN,NaN,NaN
AC074044.1,NaN,NaN,NaN,NaN
AC074050.2,NaN,NaN,NaN,NaN
AC074050.3,NaN,NaN,NaN,NaN
AC074050.4,NaN,NaN,NaN,NaN
AC074052.2,NaN,NaN,NaN,NaN
AC074099.1,NaN,NaN,NaN,NaN
AC074117.1,6.107787835,NaN,NaN,NaN
AC074124.1,NaN,NaN,NaN,NaN
AC074131.1,NaN,NaN,NaN,NaN
AC074135.1,NaN,NaN,NaN,NaN
AC074135.2,NaN,NaN,NaN,NaN
AC074138.1,NaN,NaN,NaN,NaN
AC074143.1,NaN,NaN,NaN,NaN
AC074183.1,NaN,NaN,NaN,NaN
AC074237.1,NaN,NaN,NaN,NaN
AC074254.1,NaN,NaN,NaN,NaN
AC074257.1,NaN,NaN,NaN,NaN
AC074286.1,NaN,NaN,NaN,NaN
AC074327.1,NaN,NaN,NaN,NaN
AC074344.2,NaN,NaN,NaN,NaN
AC074351.1,NaN,NaN,NaN,NaN
AC074366.1,NaN,NaN,NaN,NaN
AC074386.1,NaN,NaN,NaN,NaN
AC074387.1,NaN,NaN,NaN,NaN
AC074389.1,NaN,NaN,NaN,NaN
AC074389.2,NaN,NaN,NaN,NaN
AC074389.3,NaN,NaN,NaN,NaN
AC076966.1,NaN,NaN,NaN,NaN
AC076968.1,NaN,NaN,NaN,NaN
AC078776.1,NaN,NaN,NaN,NaN
AC078777.1,NaN,NaN,NaN,NaN
AC078778.1,NaN,NaN,NaN,NaN
AC078785.1,NaN,NaN,NaN,NaN
AC078785.2,NaN,NaN,NaN,NaN
AC078788.1,NaN,NaN,NaN,NaN
AC078788.2,NaN,NaN,NaN,NaN
AC078795.1,NaN,NaN,NaN,NaN
AC078795.2,NaN,NaN,NaN,NaN
AC078795.3,NaN,NaN,NaN,NaN
AC078802.1,NaN,NaN,NaN,NaN
AC078814.1,NaN,NaN,NaN,NaN
AC078820.1,NaN,NaN,NaN,NaN
AC078828.1,NaN,NaN,NaN,NaN
AC078842.1,NaN,NaN,NaN,NaN
AC078842.2,NaN,NaN,NaN,NaN
AC078845.1,NaN,NaN,NaN,NaN
AC078846.1,NaN,NaN,NaN,4.073004706
AC078850.1,NaN,NaN,NaN,NaN
AC078850.2,NaN,NaN,NaN,NaN
AC078851.1,NaN,NaN,NaN,NaN
AC078860.1,NaN,NaN,NaN,NaN
AC078864.1,NaN,NaN,NaN,NaN
AC078864.2,NaN,NaN,NaN,NaN
AC078865.1,NaN,NaN,NaN,NaN
AC078878.2,NaN,NaN,NaN,NaN
AC078880.1,NaN,NaN,NaN,NaN
AC078880.2,NaN,NaN,NaN,NaN
AC078880.3,NaN,NaN,NaN,NaN
AC078880.4,NaN,NaN,NaN,NaN
AC078880.5,NaN,NaN,NaN,NaN
AC078881.1,NaN,NaN,NaN,NaN
AC078883.1,NaN,NaN,NaN,5.073004706
AC078883.2,NaN,NaN,NaN,NaN
AC078883.3,NaN,NaN,NaN,NaN
AC078889.1,NaN,NaN,NaN,NaN
AC078905.1,NaN,NaN,NaN,NaN
AC078906.1,NaN,NaN,NaN,NaN
AC078909.1,NaN,NaN,NaN,NaN
AC078909.2,NaN,NaN,NaN,NaN
AC078922.1,NaN,NaN,NaN,NaN
AC078923.1,NaN,NaN,NaN,NaN
AC078925.1,NaN,NaN,NaN,NaN
AC078927.1,NaN,NaN,NaN,NaN
AC078929.1,NaN,NaN,NaN,NaN
AC078942.1,NaN,NaN,NaN,NaN
AC078955.1,NaN,NaN,NaN,NaN
AC078960.1,NaN,NaN,NaN,NaN
AC078962.2,NaN,NaN,NaN,NaN
AC078962.3,NaN,NaN,NaN,NaN
AC078962.4,NaN,NaN,NaN,NaN
AC078980.1,NaN,NaN,NaN,NaN
AC078993.1,NaN,NaN,NaN,NaN
AC079015.1,NaN,NaN,NaN,NaN
AC079031.1,NaN,NaN,NaN,NaN
AC079031.2,NaN,NaN,NaN,NaN
AC079035.1,NaN,NaN,NaN,NaN
AC079054.1,NaN,NaN,NaN,NaN
AC079061.1,NaN,NaN,NaN,NaN
AC079070.1,NaN,NaN,NaN,NaN
AC079089.1,NaN,NaN,NaN,NaN
AC079098.1,NaN,NaN,NaN,NaN
AC079117.1,NaN,NaN,NaN,NaN
AC079145.1,NaN,NaN,NaN,NaN
AC079148.1,NaN,NaN,NaN,NaN
AC079150.1,NaN,NaN,NaN,NaN
AC079154.1,NaN,NaN,NaN,NaN
AC079163.1,NaN,NaN,NaN,NaN
AC079171.1,NaN,NaN,NaN,NaN
AC079174.2,NaN,NaN,NaN,NaN
AC079193.2,NaN,NaN,NaN,NaN
AC079203.2,NaN,NaN,NaN,NaN
AC079209.1,NaN,NaN,NaN,NaN
AC079209.2,NaN,NaN,NaN,NaN
AC079210.1,NaN,NaN,NaN,NaN
AC079226.1,NaN,NaN,NaN,NaN
AC079226.2,NaN,NaN,NaN,NaN
AC079296.1,NaN,NaN,NaN,NaN
AC079298.1,NaN,NaN,NaN,NaN
AC079298.2,NaN,NaN,NaN,NaN
AC079298.3,NaN,NaN,NaN,NaN
AC079305.1,NaN,NaN,NaN,NaN
AC079305.3,NaN,NaN,NaN,NaN
AC079310.1,NaN,NaN,NaN,NaN
AC079313.1,NaN,NaN,NaN,NaN
AC079313.2,NaN,NaN,NaN,NaN
AC079315.1,NaN,NaN,NaN,NaN
AC079322.1,NaN,NaN,NaN,NaN
AC079328.2,NaN,NaN,NaN,NaN
AC079329.1,NaN,NaN,NaN,NaN
AC079336.4,NaN,NaN,NaN,NaN
AC079336.5,NaN,NaN,NaN,NaN
AC079340.1,NaN,NaN,NaN,NaN
AC079340.2,NaN,NaN,NaN,NaN
AC079341.1,NaN,NaN,NaN,NaN
AC079341.2,NaN,NaN,NaN,NaN
AC079341.3,NaN,NaN,NaN,NaN
AC079349.1,NaN,NaN,NaN,NaN
AC079354.1,NaN,NaN,NaN,NaN
AC079354.3,NaN,NaN,NaN,NaN
AC079360.1,NaN,NaN,NaN,NaN
AC079362.1,NaN,NaN,NaN,NaN
AC079380.1,NaN,NaN,NaN,NaN
AC079384.1,NaN,NaN,NaN,NaN
AC079385.1,NaN,NaN,NaN,NaN
AC079385.2,NaN,NaN,NaN,NaN
AC079385.3,NaN,NaN,NaN,NaN
AC079411.1,NaN,NaN,NaN,NaN
AC079414.1,NaN,NaN,NaN,NaN
AC079447.1,NaN,NaN,NaN,NaN
AC079465.1,NaN,NaN,NaN,NaN
AC079466.1,NaN,NaN,NaN,NaN
AC079466.2,NaN,NaN,NaN,NaN
AC079584.1,NaN,NaN,NaN,NaN
AC079584.2,NaN,NaN,NaN,NaN
AC079594.2,NaN,NaN,NaN,NaN
AC079598.1,NaN,NaN,NaN,NaN
AC079601.1,NaN,NaN,NaN,NaN
AC079610.1,NaN,NaN,NaN,NaN
AC079610.2,NaN,NaN,NaN,NaN
AC079610.3,NaN,NaN,NaN,NaN
AC079612.1,NaN,NaN,NaN,NaN
AC079612.2,NaN,NaN,NaN,NaN
AC079630.1,NaN,NaN,NaN,NaN
AC079742.1,NaN,NaN,NaN,NaN
AC079760.1,NaN,NaN,NaN,NaN
AC079760.2,NaN,NaN,NaN,NaN
AC079763.1,NaN,NaN,NaN,NaN
AC079766.1,NaN,NaN,NaN,NaN
AC079779.1,NaN,NaN,NaN,NaN
AC079779.3,NaN,NaN,NaN,NaN
AC079779.4,NaN,NaN,NaN,NaN
AC079790.1,NaN,NaN,NaN,NaN
AC079793.1,NaN,NaN,NaN,NaN
AC079799.1,NaN,NaN,NaN,NaN
AC079801.1,NaN,NaN,NaN,NaN
AC079807.1,NaN,NaN,NaN,NaN
AC079834.2,NaN,NaN,NaN,NaN
AC079848.1,NaN,NaN,NaN,NaN
AC079858.1,NaN,NaN,NaN,NaN
AC079896.1,NaN,NaN,NaN,NaN
AC079906.1,NaN,NaN,NaN,NaN
AC079907.1,NaN,NaN,NaN,NaN
AC079907.2,NaN,NaN,NaN,NaN
AC079910.1,NaN,NaN,NaN,NaN
AC079917.1,NaN,NaN,NaN,NaN
AC079921.1,NaN,NaN,NaN,NaN
AC079921.2,NaN,NaN,NaN,NaN
AC079922.2,NaN,NaN,NaN,NaN
AC079942.1,NaN,NaN,NaN,NaN
AC079943.1,NaN,NaN,NaN,NaN
AC079943.2,NaN,NaN,NaN,NaN
AC079949.1,NaN,NaN,NaN,NaN
AC079949.2,NaN,NaN,NaN,NaN
AC079950.1,NaN,NaN,NaN,NaN
AC079988.1,NaN,NaN,NaN,NaN
AC080011.1,NaN,NaN,NaN,NaN
AC080013.1,NaN,NaN,NaN,NaN
AC080013.4,NaN,NaN,NaN,NaN
AC080013.5,NaN,NaN,NaN,NaN
AC080013.6,NaN,NaN,NaN,NaN
AC080023.1,NaN,NaN,NaN,NaN
AC080037.1,NaN,NaN,NaN,NaN
AC080038.1,NaN,NaN,NaN,NaN
AC080038.2,NaN,NaN,NaN,NaN
AC080075.1,NaN,NaN,NaN,NaN
AC080078.1,NaN,NaN,NaN,NaN
AC080078.2,NaN,NaN,NaN,NaN
AC080112.1,NaN,NaN,NaN,NaN
AC080129.1,NaN,NaN,NaN,NaN
AC080129.2,NaN,NaN,NaN,NaN
AC080162.1,NaN,NaN,NaN,NaN
AC080188.1,NaN,NaN,NaN,NaN
AC082650.1,NaN,NaN,NaN,NaN
AC082651.1,NaN,NaN,NaN,NaN
AC082651.3,NaN,NaN,NaN,NaN
AC082651.4,NaN,NaN,NaN,NaN
AC083795.2,NaN,NaN,NaN,NaN
AC083798.2,NaN,NaN,NaN,NaN
AC083800.1,NaN,NaN,NaN,NaN
AC083801.2,NaN,NaN,NaN,NaN
AC083805.1,NaN,NaN,NaN,NaN
AC083805.2,NaN,NaN,NaN,NaN
AC083805.3,NaN,NaN,NaN,NaN
AC083806.2,NaN,NaN,NaN,NaN
AC083806.3,NaN,NaN,NaN,NaN
AC083809.1,NaN,NaN,NaN,NaN
AC083829.2,NaN,NaN,NaN,NaN
AC083836.1,NaN,NaN,NaN,NaN
AC083837.1,NaN,NaN,NaN,NaN
AC083841.1,NaN,NaN,NaN,NaN
AC083841.2,NaN,NaN,NaN,NaN
AC083841.3,NaN,NaN,NaN,NaN
AC083843.1,NaN,NaN,NaN,NaN
AC083843.2,NaN,NaN,NaN,NaN
AC083843.3,NaN,NaN,NaN,NaN
AC083862.2,NaN,NaN,NaN,NaN
AC083864.1,NaN,NaN,NaN,NaN
AC083864.2,NaN,NaN,NaN,NaN
AC083867.1,NaN,NaN,NaN,NaN
AC083880.1,NaN,NaN,NaN,NaN
AC083902.1,NaN,NaN,NaN,NaN
AC083906.3,NaN,NaN,NaN,NaN
AC083949.1,NaN,NaN,NaN,NaN
AC083964.1,NaN,NaN,NaN,NaN
AC083967.1,NaN,NaN,NaN,NaN
AC083973.1,NaN,NaN,NaN,NaN
AC084018.1,NaN,NaN,NaN,NaN
AC084018.2,NaN,NaN,NaN,NaN
AC084024.1,NaN,NaN,NaN,NaN
AC084024.3,NaN,NaN,NaN,NaN
AC084026.1,NaN,NaN,NaN,NaN
AC084026.2,NaN,NaN,NaN,NaN
AC084030.1,NaN,NaN,NaN,NaN
AC084032.1,NaN,NaN,NaN,NaN
AC084033.3,NaN,NaN,NaN,4.073004706
AC084035.1,NaN,NaN,NaN,NaN
AC084036.1,NaN,NaN,NaN,NaN
AC084048.1,NaN,NaN,NaN,NaN
AC084064.1,NaN,NaN,NaN,NaN
AC084082.1,NaN,NaN,NaN,NaN
AC084083.1,NaN,NaN,NaN,NaN
AC084116.1,NaN,NaN,NaN,NaN
AC084116.2,NaN,NaN,NaN,NaN
AC084116.3,NaN,NaN,NaN,NaN
AC084125.1,NaN,NaN,NaN,NaN
AC084125.3,NaN,NaN,NaN,NaN
AC084125.4,NaN,NaN,NaN,NaN
AC084128.1,NaN,NaN,NaN,NaN
AC084149.1,NaN,NaN,NaN,NaN
AC084149.2,NaN,NaN,NaN,NaN
AC084200.1,NaN,NaN,NaN,NaN
AC084211.1,NaN,NaN,NaN,NaN
AC084291.1,NaN,NaN,NaN,NaN
AC084337.2,NaN,NaN,NaN,NaN
AC084346.1,NaN,NaN,NaN,NaN
AC084346.2,NaN,NaN,NaN,NaN
AC084357.2,NaN,NaN,NaN,NaN
AC084361.1,NaN,NaN,NaN,NaN
AC084365.1,NaN,NaN,NaN,NaN
AC084398.2,NaN,NaN,NaN,NaN
AC084706.1,NaN,NaN,NaN,NaN
AC084756.1,NaN,NaN,NaN,NaN
AC084757.2,NaN,NaN,NaN,NaN
AC084757.3,NaN,NaN,NaN,NaN
AC084757.4,NaN,NaN,NaN,NaN
AC084759.2,NaN,NaN,NaN,NaN
AC084768.1,NaN,NaN,NaN,NaN
AC084782.1,NaN,NaN,NaN,NaN
AC084782.2,NaN,NaN,NaN,NaN
AC084782.3,NaN,NaN,NaN,NaN
AC084809.1,NaN,NaN,NaN,NaN
AC084809.2,NaN,NaN,NaN,NaN
AC084816.1,NaN,NaN,NaN,NaN
AC084819.1,NaN,NaN,NaN,NaN
AC084824.5,NaN,NaN,NaN,NaN
AC084855.1,NaN,NaN,NaN,NaN
AC084855.2,NaN,NaN,NaN,NaN
AC084859.1,NaN,NaN,NaN,NaN
AC084864.1,NaN,NaN,NaN,NaN
AC084866.1,NaN,NaN,NaN,NaN
AC084866.2,NaN,NaN,NaN,NaN
AC084871.2,NaN,NaN,NaN,NaN
AC084876.1,NaN,NaN,NaN,NaN
AC084879.2,NaN,NaN,NaN,NaN
AC084880.2,NaN,NaN,NaN,NaN
AC084880.3,NaN,NaN,NaN,NaN
AC084880.4,NaN,NaN,NaN,NaN
AC087045.2,NaN,NaN,NaN,NaN
AC087071.1,NaN,NaN,NaN,NaN
AC087071.2,NaN,NaN,NaN,NaN
AC087164.1,NaN,NaN,NaN,NaN
AC087190.1,4.263949171,NaN,NaN,NaN
AC087190.2,NaN,NaN,NaN,NaN
AC087203.3,NaN,NaN,NaN,NaN
AC087222.1,NaN,NaN,NaN,NaN
AC087235.1,NaN,NaN,NaN,NaN
AC087239.1,NaN,NaN,NaN,NaN
AC087241.1,NaN,NaN,NaN,NaN
AC087241.3,NaN,NaN,NaN,NaN
AC087242.1,NaN,NaN,NaN,NaN
AC087257.1,NaN,NaN,NaN,NaN
AC087258.1,NaN,NaN,NaN,NaN
AC087260.1,NaN,NaN,NaN,NaN
AC087269.1,NaN,NaN,NaN,NaN
AC087273.1,NaN,NaN,NaN,NaN
AC087273.2,NaN,NaN,NaN,NaN
AC087276.2,NaN,NaN,NaN,NaN
AC087276.3,NaN,NaN,NaN,NaN
AC087277.1,NaN,NaN,NaN,NaN
AC087280.2,NaN,NaN,NaN,NaN
AC087286.1,NaN,NaN,NaN,NaN
AC087286.2,NaN,NaN,NaN,NaN
AC087286.3,NaN,NaN,NaN,NaN
AC087289.1,NaN,NaN,NaN,NaN
AC087289.2,NaN,NaN,NaN,NaN
AC087289.3,NaN,NaN,NaN,NaN
AC087289.4,NaN,NaN,NaN,NaN
AC087289.5,NaN,NaN,NaN,NaN
AC087292.1,NaN,NaN,NaN,NaN
AC087294.1,NaN,NaN,NaN,NaN
AC087311.2,NaN,NaN,NaN,NaN
AC087318.1,NaN,NaN,NaN,NaN
AC087321.1,NaN,NaN,NaN,NaN
AC087341.1,NaN,NaN,NaN,NaN
AC087354.1,NaN,NaN,NaN,NaN
AC087362.1,NaN,NaN,NaN,NaN
AC087362.2,NaN,NaN,NaN,NaN
AC087379.1,NaN,NaN,NaN,NaN
AC087379.2,NaN,NaN,NaN,NaN
AC087386.1,NaN,NaN,NaN,NaN
AC087392.1,NaN,NaN,NaN,NaN
AC087392.2,NaN,NaN,NaN,NaN
AC087392.3,NaN,NaN,NaN,NaN
AC087392.4,NaN,NaN,NaN,NaN
AC087392.5,NaN,NaN,NaN,NaN
AC087393.2,NaN,NaN,NaN,NaN
AC087399.1,NaN,NaN,NaN,NaN
AC087430.1,NaN,NaN,NaN,NaN
AC087439.1,NaN,NaN,NaN,NaN
AC087442.1,NaN,NaN,NaN,NaN
AC087457.1,NaN,NaN,NaN,NaN
AC087463.1,NaN,NaN,NaN,NaN
AC087463.2,NaN,NaN,NaN,NaN
AC087463.3,NaN,NaN,NaN,NaN
AC087463.4,NaN,NaN,NaN,NaN
AC087473.1,NaN,NaN,NaN,4.073004706
AC087477.2,NaN,NaN,NaN,NaN
AC087477.3,NaN,NaN,NaN,NaN
AC087477.4,NaN,NaN,NaN,NaN
AC087477.5,NaN,NaN,NaN,NaN
AC087482.1,NaN,NaN,NaN,NaN
AC087491.1,NaN,NaN,NaN,NaN
AC087498.1,NaN,NaN,NaN,NaN
AC087500.1,NaN,NaN,NaN,NaN
AC087500.2,NaN,NaN,NaN,NaN
AC087501.1,NaN,NaN,NaN,NaN
AC087501.2,NaN,NaN,NaN,NaN
AC087501.3,NaN,NaN,NaN,NaN
AC087516.1,NaN,NaN,NaN,NaN
AC087516.2,NaN,NaN,NaN,NaN
AC087518.1,NaN,NaN,NaN,NaN
AC087521.1,NaN,NaN,NaN,NaN
AC087521.2,NaN,NaN,NaN,NaN
AC087521.4,NaN,NaN,NaN,NaN
AC087564.1,NaN,NaN,NaN,NaN
AC087565.1,NaN,NaN,NaN,NaN
AC087565.2,NaN,NaN,NaN,NaN
AC087612.1,NaN,NaN,NaN,NaN
AC087620.1,NaN,NaN,NaN,NaN
AC087623.1,NaN,NaN,NaN,NaN
AC087623.2,NaN,NaN,NaN,NaN
AC087623.3,4.237559652,NaN,NaN,NaN
AC087623.4,NaN,NaN,NaN,NaN
AC087627.1,NaN,NaN,NaN,NaN
AC087632.1,NaN,NaN,NaN,NaN
AC087633.1,NaN,NaN,NaN,NaN
AC087636.1,NaN,NaN,NaN,NaN
AC087645.2,NaN,NaN,NaN,NaN
AC087645.4,NaN,NaN,NaN,NaN
AC087664.1,NaN,NaN,NaN,NaN
AC087664.2,NaN,NaN,NaN,NaN
AC087667.1,NaN,NaN,NaN,NaN
AC087672.1,NaN,NaN,NaN,NaN
AC087672.2,NaN,NaN,NaN,NaN
AC087741.1,NaN,NaN,NaN,NaN
AC087741.2,NaN,NaN,NaN,NaN
AC087742.1,NaN,NaN,NaN,NaN
AC087749.1,NaN,NaN,NaN,NaN
AC087749.2,NaN,NaN,NaN,NaN
AC087752.4,NaN,NaN,NaN,NaN
AC087761.1,NaN,NaN,NaN,NaN
AC087762.1,NaN,NaN,NaN,NaN
AC087783.1,NaN,NaN,NaN,NaN
AC087855.1,NaN,NaN,NaN,NaN
AC087855.2,NaN,NaN,NaN,NaN
AC087857.1,NaN,NaN,NaN,NaN
AC087863.1,NaN,NaN,NaN,NaN
AC087878.1,NaN,NaN,NaN,NaN
AC087894.2,NaN,NaN,NaN,NaN
AC087897.2,NaN,NaN,NaN,NaN
AC089983.1,NaN,NaN,NaN,NaN
AC089984.1,NaN,NaN,NaN,NaN
AC089987.2,NaN,NaN,NaN,NaN
AC089998.1,NaN,NaN,NaN,NaN
AC089998.2,NaN,NaN,NaN,NaN
AC089998.4,NaN,NaN,NaN,NaN
AC089999.1,NaN,NaN,NaN,NaN
AC090001.1,NaN,NaN,NaN,NaN
AC090004.1,NaN,NaN,NaN,NaN
AC090023.1,NaN,NaN,NaN,NaN
AC090023.2,NaN,NaN,NaN,NaN
AC090044.1,NaN,NaN,NaN,NaN
AC090049.1,NaN,NaN,NaN,NaN
AC090061.1,NaN,NaN,NaN,NaN
AC090092.1,NaN,NaN,NaN,NaN
AC090099.4,NaN,NaN,NaN,NaN
AC090103.1,NaN,NaN,NaN,NaN
AC090109.1,NaN,NaN,NaN,NaN
AC090114.2,NaN,3.714491682,NaN,5.555307493
AC090115.1,NaN,NaN,NaN,NaN
AC090124.1,NaN,NaN,NaN,NaN
AC090124.2,NaN,NaN,NaN,NaN
AC090125.1,NaN,NaN,NaN,NaN
AC090136.3,NaN,NaN,NaN,NaN
AC090138.1,NaN,NaN,NaN,NaN
AC090150.1,NaN,NaN,NaN,NaN
AC090150.2,NaN,NaN,NaN,NaN
AC090152.1,4.177199248,4.15033283,NaN,NaN
AC090155.1,NaN,NaN,NaN,NaN
AC090155.2,NaN,NaN,NaN,NaN
AC090159.1,NaN,NaN,NaN,NaN
AC090164.3,NaN,NaN,NaN,NaN
AC090164.4,NaN,NaN,NaN,NaN
AC090181.1,NaN,NaN,NaN,NaN
AC090186.1,NaN,NaN,NaN,NaN
AC090192.2,NaN,NaN,NaN,NaN
AC090193.1,NaN,NaN,NaN,NaN
AC090193.2,NaN,NaN,NaN,NaN
AC090198.1,NaN,NaN,NaN,NaN
AC090200.1,NaN,NaN,NaN,NaN
AC090204.1,4.050529285,NaN,NaN,NaN
AC090213.1,NaN,NaN,NaN,NaN
AC090227.1,NaN,NaN,NaN,NaN
