,DC_Healthy,DC_Severe,Epithelial_2_Healthy,Epithelial_2_Severe
DCAF6,NaN,3.84584836,5.167134111,NaN
MAP1LC3B,6.358714338,6.735457242,5.16778286,6.792820465
PTGES2,6.501294142,6.71193596,5.168541414,NaN
SYAP1,6.854061623,5.07589918,5.169216974,4.073004706
C1GALT1,3.839204969,4.732536213,5.170253593,5.555307493
UTP11,4.097467964,5.235034688,5.170406488,4.073004706
FAF2,4.649975887,5.495876438,5.170666765,NaN
PLSCR1,6.406896482,6.147645958,5.17120136,NaN
UBQLN1,4.784715182,5.663620749,5.175222301,NaN
PYCARD,7.348838126,8.185253279,5.175826516,NaN
SF3B3,4.410099527,4.301866203,5.176238548,4.073004706
CCDC130,3.944376652,4.156029733,5.177595035,NaN
HLTF,4.189100114,4.210904166,5.178490115,NaN
MNAT1,4.004229403,3.500835236,5.182824773,NaN
TMC6,4.483627064,4.756127199,5.183097912,NaN
FEM1B,3.462963036,4.03409822,5.184374272,NaN
SPICE1,NaN,NaN,5.184703431,4.073004706
LINS1,NaN,NaN,5.185124777,NaN
ATL2,2.298781517,NaN,5.185937984,NaN
MGA,5.382591155,4.135990154,5.186243383,5.996702856
PLS3,NaN,NaN,5.187452087,4.073004706
SCOC,4.102910068,3.57837092,5.187910962,NaN
HPS4,5.2911751,4.178448275,5.188072502,5.996702856
DBP,3.264623374,NaN,5.189235819,NaN
NCK1,4.878259559,5.719823447,5.189492733,NaN
TBCB,6.155063812,6.668813246,5.189909045,NaN
XPO7,NaN,NaN,5.192972072,NaN
TBC1D22A,6.17882165,4.866173231,5.193645784,NaN
SLC38A1,5.662961342,5.600492845,5.194476504,5.555307493
GMPS,5.145575477,4.741014591,5.194590586,NaN
CLUH,3.409502806,3.244693,5.195006033,4.073004706
KCNK6,8.115209928,7.64837575,5.196687356,NaN
GINM1,6.973563481,6.0887188,5.198398014,6.334217577
MBD3,4.623491107,4.023374671,5.20020906,5.555307493
MPLKIP,4.924842313,5.940961235,5.20273222,NaN
COMT,6.67418848,5.891386916,5.204403231,NaN
UBP1,3.370741012,4.432139731,5.204470451,NaN
MECP2,4.927607138,3.954437862,5.204868137,NaN
ARHGDIB,8.374550504,9.22928697,5.208260991,NaN
JARID2,6.3588407,6.160900712,5.211855194,NaN
PSMD6,5.005657852,5.75193283,5.212445839,4.073004706
NR2C1,2.835958878,NaN,5.213392606,NaN
SMIM15,4.927708157,3.871149429,5.213720255,4.073004706
QARS,5.41174944,6.185699674,5.215191978,NaN
ANKS3,3.24685131,NaN,5.216969766,NaN
STK4,7.781708798,7.898387258,5.217126788,NaN
CEP63,4.860142726,4.996109509,5.219533669,NaN
GLYR1,3.508441567,5.109544082,5.221822126,NaN
ZNF428,5.441244385,5.328795825,5.222262151,5.555307493
CNN2,6.941511487,7.443417883,5.222546638,6.555307493
MXI1,NaN,NaN,5.224094287,NaN
THEM4,5.728351685,5.330465089,5.22418687,NaN
RBCK1,5.572241081,5.725923333,5.224900597,5.073004706
SAR1B,4.687803298,4.997774221,5.227166783,5.996702856
DGUOK,5.675682144,5.993722106,5.227358392,4.073004706
DDX50,4.867553408,4.33455319,5.227807798,NaN
ASAP1,7.678904131,7.870877564,5.228850949,6.607550294
BAG6,5.237273996,5.08772841,5.228879876,NaN
ARF3,6.051162745,5.968432464,5.229242201,NaN
SLC12A2,4.68727699,4.415030073,5.22971833,NaN
SYMPK,6.256015239,5.619404441,5.229740137,4.073004706
CCDC144A,NaN,NaN,5.230231988,NaN
ZFAND6,5.775010725,6.46862192,5.230463138,4.073004706
MALT1,NaN,3.933030702,5.231110061,NaN
TBRG1,5.846417311,5.017790918,5.232105666,6.555307493
SHLD2,5.386701398,NaN,5.233531567,NaN
CYTH1,6.225720167,5.174589826,5.235157503,5.073004706
MMADHC,5.115954495,5.403346863,5.235942336,4.073004706
FARSB,3.955271984,3.926214367,5.238097591,NaN
RPS6KB2,4.601199813,5.618772951,5.238108087,5.555307493
RNF149,6.118679319,5.436063489,5.238163405,4.073004706
ADIPOR2,2.703880344,NaN,5.238527094,NaN
MRPL3,5.593682907,6.021476699,5.238674734,NaN
MED28,5.785168741,5.80984409,5.23925787,4.073004706
ATR,4.818110018,4.747295775,5.23973801,NaN
AL021368.2,4.0832969,NaN,5.241286484,NaN
RRM1,3.151585916,NaN,5.242731966,4.073004706
CACUL1,3.076954868,4.160464003,5.244051931,4.073004706
PRKRA,4.899571033,5.568624678,5.245542575,NaN
SDC4,4.73975852,NaN,5.245873956,NaN
RABEP1,4.017399271,4.065699142,5.246091964,5.555307493
CALM3,5.8855923,6.804529105,5.247275531,6.996702856
ARHGEF4,NaN,NaN,5.248760692,NaN
ETNK1,5.213197271,5.110720147,5.249000011,4.073004706
MCM4,4.021654977,NaN,5.251339289,4.073004706
KLHL42,4.125107302,NaN,5.251636481,NaN
CIB1,7.014743923,7.226954228,5.251996865,6.334217577
IPPK,NaN,NaN,5.253282539,NaN
PRR13,7.036060993,7.771189286,5.255159674,5.996702856
CCS,4.243740251,5.212054606,5.257625082,NaN
PRH1,5.042335906,4.223101111,5.259961248,5.996702856
KAZN,NaN,NaN,5.260201416,NaN
DDX19A,NaN,NaN,5.260672929,NaN
POGLUT1,4.342926873,NaN,5.262340239,NaN
NT5C3A,3.596371913,4.265565537,5.262969936,NaN
ELAVL1,4.271281982,5.893919615,5.263965793,4.073004706
RTF2,6.455232339,6.654310891,5.264052037,NaN
MTMR4,4.991918976,4.944071809,5.265214544,NaN
HSD17B10,6.201391231,6.353144179,5.26571052,NaN
SCPEP1,3.470128424,NaN,5.26816307,NaN
SMARCD1,4.992138038,3.486575915,5.268293808,NaN
INO80,3.320528874,NaN,5.268533716,NaN
KARS,4.365333531,5.332418197,5.268602044,NaN
BCL2L13,4.915630585,4.05286445,5.269121872,NaN
MIR22HG,4.663364059,NaN,5.269312758,4.073004706
ZFX,3.840798875,4.854672366,5.269592427,NaN
SMAD4,3.040329358,4.068668385,5.271407311,NaN
PYGL,NaN,NaN,5.271463401,NaN
IRAK4,4.703563175,4.537286366,5.27157565,NaN
ATMIN,4.164828915,NaN,5.272392407,NaN
COMMD2,5.301198585,5.366343216,5.272601786,NaN
NOP14,4.964220777,4.066988011,5.27278534,NaN
MTERF2,5.204298045,5.227196859,5.272870295,NaN
ZDHHC5,4.963010017,NaN,5.274376308,4.073004706
R3HDM1,4.743572007,3.681578309,5.274480747,5.555307493
FOXE1,NaN,NaN,5.27569076,NaN
HAT1,4.522206454,4.368089861,5.276858709,NaN
MRPL11,4.650363401,5.567134146,5.277543126,NaN
EPB41L2,4.967356984,4.24148942,5.277905354,4.073004706
MRPS16,5.473122279,5.551175804,5.278153832,6.555307493
GPS2,3.266493029,3.216862984,5.278411054,5.555307493
NUMB,5.405899175,4.06184472,5.278797577,5.996702856
ORAI1,5.998633633,6.245449878,5.281298752,4.073004706
TRAPPC4,4.562736514,4.953107843,5.281333103,NaN
CCDC3,NaN,NaN,5.281400665,NaN
TMEM160,5.257459896,6.037186333,5.281528692,6.555307493
RBFA,4.429215829,4.748142939,5.282204347,4.073004706
GSTO2,NaN,NaN,5.282685241,NaN
LAP3,7.40233062,7.554629511,5.283401979,6.555307493
PNPLA8,4.547966494,4.716330783,5.284022845,5.555307493
HNRNPH2,4.664232419,5.725781174,5.284112949,4.073004706
ZNF407,3.384744782,NaN,5.284198257,NaN
ZDHHC17,5.399938285,5.135227478,5.285059437,NaN
PIBF1,3.097083963,3.011467723,5.28558568,NaN
CNTRL,6.128985901,5.613633237,5.286658069,NaN
ZDHHC21,NaN,NaN,5.287062039,NaN
DYRK1A,3.460564091,4.721645264,5.287128867,5.555307493
ATG14,2.886958338,3.347527841,5.287683103,NaN
RFX1,3.836037178,NaN,5.287949525,5.996702856
LIMK2,2.325276285,NaN,5.289190567,NaN
PLEKHM2,4.728864418,3.230081478,5.290366894,NaN
RANBP6,3.982960592,NaN,5.290866544,NaN
NDUFS2,6.294332898,6.40911153,5.291380483,5.555307493
REX1BD,7.016527705,6.835407949,5.291464069,4.073004706
LYPLA1,5.443496833,5.559841058,5.291815043,5.073004706
IGSF3,NaN,NaN,5.292202468,NaN
NAPG,3.334853515,NaN,5.293039226,5.996702856
SOS1,3.271920825,NaN,5.2945911,NaN
FLNB,3.759737209,5.41167844,5.295564232,NaN
COQ4,4.016509216,4.840071674,5.296722856,5.555307493
KDM5D,5.014513757,4.414348142,5.296723849,4.073004706
LSM12,5.467025499,4.252897048,5.296753236,6.555307493
VIRMA,4.132370315,4.549300863,5.296912828,5.555307493
ACTR10,4.912543812,4.847474879,5.297629311,4.073004706
OPA1,4.437764287,4.376438805,5.298041502,NaN
SRP54,5.128655692,5.262767358,5.298110596,5.996702856
PLEKHA4,NaN,NaN,5.29840368,NaN
PLEKHH3,NaN,NaN,5.298974484,NaN
OTUD4,4.081871192,3.703737879,5.299161145,NaN
FAM111A,1.999760505,3.984448384,5.299363691,NaN
AP3S1,5.346368636,5.217942604,5.299669656,4.073004706
TMED3,5.589807755,6.077023698,5.300169678,NaN
MRPL21,5.16783752,4.924797175,5.301402995,5.555307493
TMPO,5.620667529,4.902663168,5.301856879,NaN
BCAP29,3.80023262,5.037705379,5.302468341,6.996702856
CYP20A1,5.605910533,NaN,5.3028176,4.073004706
EBNA1BP2,5.292267433,4.866918172,5.302961733,NaN
SUMO3,6.988958557,5.880185016,5.303292678,5.555307493
SNX29,6.464533192,6.032930063,5.303599936,NaN
GIT1,2.57026931,4.13494195,5.303600894,NaN
ARFIP1,3.223739095,NaN,5.303719378,NaN
RPRD1A,5.04054178,4.803330711,5.304032598,NaN
TIMM8B,5.698228583,7.136598434,5.304122356,6.996702856
NUP62,5.82921503,6.388033209,5.304454112,NaN
VCL,4.679358821,4.834315567,5.304837402,4.073004706
FHIT,NaN,NaN,5.305080881,NaN
IDS,7.522124582,6.306165339,5.305181385,NaN
ARHGAP35,4.582565907,NaN,5.306402185,6.792820465
PSD3,NaN,NaN,5.306597259,4.073004706
OARD1,5.007301381,3.851490696,5.306705251,NaN
MAPKAP1,5.404585272,4.160894538,5.307197991,NaN
RLF,4.689724168,4.323653262,5.307398161,NaN
RRP1B,4.210494366,4.89341423,5.307484048,NaN
FAM135A,5.91954248,5.031227594,5.307583719,NaN
CHM,4.459463341,3.936908501,5.307897788,NaN
DDX54,4.406352027,5.833874873,5.308481636,NaN
NAGK,6.555000219,6.973360262,5.308884856,NaN
MRPS12,5.335727953,5.585019624,5.309084401,NaN
DOPEY1,4.41233126,4.649304592,5.310235354,NaN
GLI3,NaN,NaN,5.310301135,5.555307493
FAM192A,5.36441916,4.847837369,5.310674911,NaN
ZMIZ2,6.066601073,5.416447974,5.310699953,4.073004706
