	source	source_genesymbol
250	Q15375	EPHA7
251	Q15465	SHH
252	Q15762	CD226
253	Q15768	EFNB3
254	Q16288	NTRK3
255	Q16653	MOG
256	Q29980	MICB
257	Q29983	MICA
258	Q30154	HLA-DRB5
259	Q495A1	TIGIT
260	Q5DX21	IGSF11
261	Q68D85	NCR3LG1
262	Q6H3X3	RAET1G
263	Q6IA17	SIGIRR
264	Q6NW40	RGMB
265	Q6UVK1	CSPG4
266	Q6UW88	EPGN
267	Q6UX41	BTNL8
268	Q6UXG8	BTNL9
269	Q6UY11	DLK2
270	Q6V0I7	FAT4
271	Q7KYR7	BTN2A1
272	Q7Z3B1	NEGR1
273	Q7Z6A9	BTLA
274	Q7Z7D3	VTCN1
275	Q86YL7	PDPN
276	Q86YT9	JAML
277	Q8IWV2	CNTN4
278	Q8IYV9	IZUMO1
279	Q8N0W4	NLGN4X
280	Q8N126	CADM3
281	Q8N2Q7	NLGN1
282	Q8N6Q3	CD177
283	Q8NFY4	SEMA6D
284	Q8NFZ4	NLGN2
285	Q8NFZ8	CADM4
286	Q8NHJ6	LILRB4
287	Q8TD07	RAET1E
288	Q8TD46	CD200R1
289	Q8WTV0	SCARB1
290	Q8WVN6	SECTM1
291	Q8WWG1	NRG4
292	Q92692	NECTIN2
293	Q92838	EDA
294	Q92854	SEMA4D
295	Q92859	NEO1
296	Q92896	GLG1
297	Q92956	TNFRSF14
298	Q96B86	RGMA
299	Q96CW9	NTNG2
300	Q96D42	HAVCR1
301	Q96DU3	SLAMF6
302	Q96FE5	LINGO1
303	Q96H15	TIMD4
304	Q96JQ0	DCHS1
305	Q96MS0	ROBO3
306	Q96NY8	NECTIN4
307	Q96PD2	DCBLD2
308	Q96PX8	SLITRK1
309	Q99075	HBEGF
310	Q99466	NOTCH4
311	Q99965	ADAM2
312	Q9BQ51	PDCD1LG2
313	Q9BTN0	LRFN3
314	Q9BX67	JAM3
315	Q9BY67	CADM1
316	Q9BZM4	ULBP3
317	Q9BZM5	ULBP2
318	Q9BZM6	ULBP1
319	Q9BZR6	RTN4R
320	Q9BZW8	CD244
321	Q9BZZ2	SIGLEC1
322	Q9C0C4	SEMA4C
323	Q9H156	SLITRK2
324	Q9H2A7	CXCL16
325	Q9H2E6	SEMA6A
326	Q9H2U9	ADAM7
327	Q9H3S1	SEMA4A
328	Q9H3T2	SEMA6C
329	Q9H3T3	SEMA6B
330	Q9H461	FZD8
331	Q9H5Y7	SLITRK6
332	Q9H7M9	VSIR
333	Q9HBW1	LRRC4
334	Q9HCJ2	LRRC4C
335	Q9HCM2	PLXNA4
336	Q9HDB5	NRXN3
337	Q9NNX6	CD209
338	Q9NPR2	SEMA4B
339	Q9NQS3	NECTIN3
340	Q9NR61	DLL4
341	Q9NR96	TLR9
342	Q9NRA1	PDGFC
343	Q9NRV9	HEBP1
344	Q9NT99	LRRC4B
345	Q9NTN9	SEMA4G
346	Q9NUP9	LIN7C
347	Q9NYJ7	DLL3
348	Q9NZ53	PODXL2
349	Q9NZ94	NLGN3
350	Q9NZC2	TREM2
351	Q9NZN1	IL1RAPL1
352	Q9NZQ7	CD274
353	Q9NZR2	LRP1B
354	Q9NZS2	KLRF1
355	Q9P126	CLEC1B
356	Q9P1W8	SIRPG
357	Q9P283	SEMA5B
358	Q9P2M7	CGN
359	Q9P2S2	NRXN2
360	Q9UBK5	HCST
361	Q9UBR5	CKLF
362	Q9UEF7	KL
363	Q9UF33	EPHA6
364	Q9UHC6	CNTNAP2
365	Q9UHP7	CLEC2D
366	Q9UIW2	PLXNA1
367	Q9UKF5	ADAM29
368	Q9UKQ2	ADAM28
369	Q9UKY0	PRND
370	Q9ULB1	NRXN1
371	Q9ULL4	PLXNB3
372	Q9UM44	HHLA2
373	Q9UM47	NOTCH3
374	Q9UMF0	ICAM5
375	Q9UNG2	TNFSF18
376	Q9UQ52	CNTN6
377	Q9Y219	JAG2
378	Q9Y275	TNFSF13B
379	Q9Y2I2	NTNG1
380	Q9Y2J0	RPH3A
381	Q9Y4C0	NRXN3
382	Q9Y4D7	PLXND1
383	Q9Y5U5	TNFRSF18
384	Q9Y624	F11R
385	Q9Y6N7	ROBO1
386	Q9Y6W8	ICOS
387	A0A1B0GTJ6	LOC101059948
388	A6NMZ7	COL6A6
389	A8TX70	COL6A5
390	B1AKI9	ISM1
391	COMPLEX:O15230_P07942_P11047	LAMA5_LAMB1_LAMC1
392	COMPLEX:O75462_Q9UBD9	CLCF1_CRLF1
393	COMPLEX:P00451_P00740	F8_F9
394	COMPLEX:P01215_P01222	CGA_TSHB
395	COMPLEX:P01215_P01225	CGA_FSHB
396	COMPLEX:P01215_P01229	CGA_LHB
397	COMPLEX:P01857_P0CG04	IGHG1_IGLC1
398	COMPLEX:P05067_P49768_P56817	APP_BACE1_PSEN1
399	COMPLEX:P05067_P56817	APP_BACE1
400	COMPLEX:P05109_P06702	S100A8_S100A9
401	COMPLEX:P05111_P08476	INHA_INHBA
402	COMPLEX:P05111_P09529	INHA_INHBB
403	COMPLEX:P07942_P11047_P25391	LAMA1_LAMB1_LAMC1
404	COMPLEX:P07942_P11047_Q16363	LAMA4_LAMB1_LAMC1
405	COMPLEX:P08476_P09529	INHBA_INHBB
406	COMPLEX:P09603_Q6ZMJ4	CSF1_IL34
407	COMPLEX:P29459_P29460	IL12A_IL12B
408	COMPLEX:P29459_Q14213	EBI3_IL12A
409	COMPLEX:P29459_Q8NEV9	IL12A_IL27
410	COMPLEX:P29460_Q9NPF7	IL12B_IL23A
411	COMPLEX:Q13751_Q13753_Q16787	LAMA3_LAMB3_LAMC2
412	COMPLEX:Q14213_Q8NEV9	EBI3_IL27
413	COMPLEX:Q16552_Q96PD4	IL17A_IL17F
414	K9M1U5	IFNL4
415	O00175	CCL24
416	O00230	CORT
417	O00253	AGRP
418	O00292	LEFTY2
419	O00585	CCL21
420	O00602	FCN1
421	O00622	CCN1
422	O00626	CCL22
423	O00634	NTN3
424	O00744	WNT10B
425	O00755	WNT7A
426	O14508	SOCS2
427	O14625	CXCL11
428	O14786	NRP1
429	O14793	MSTN
430	O14904	WNT9A
431	O14905	WNT9B
432	O15041	SEMA3E
433	O15072	ADAMTS3
434	O15123	ANGPT2
435	O15130	NPFF
436	O15230	LAMA5
437	O15240	VGF
438	O15263	DEFB4B
439	O15335	CHAD
440	O15444	CCL25
441	O15467	CCL16
442	O15520	FGF10
443	O43155	FLRT2
444	O43320	FGF16
445	O43555	GNRH2
446	O43559	FRS3
447	O43612	HCRT
448	O43827	ANGPTL7
449	O43854	EDIL3
450	O43866	CD5L
451	O43915	VEGFD
452	O43927	CXCL13
453	O60258	FGF17
454	O60383	GDF9
455	O60542	PSPN
456	O60565	GREM1
457	O75093	SLIT1
458	O75094	SLIT3
459	O75462	CRLF1
460	O75594	PGLYRP1
461	O75610	LEFTY1
462	O75829	CNMD
463	O75973	C1QL1
464	O76093	FGF18
465	O94813	SLIT2
466	O94898	LRIG2
467	O94907	DKK1
468	O95025	SEMA3D
469	O95156	NXPH2
470	O95157	NXPH3
471	O95171	SCEL
472	O95388	CCN4
473	O95389	CCN6
474	O95390	GDF11
475	O95393	BMP10
476	O95399	UTS2
477	O95407	TNFRSF6B
478	O95631	NTN1
479	O95715	CXCL14
480	O95750	FGF19
481	O95760	IL33
482	O95813	CER1
483	O95841	ANGPTL1
484	O95897	OLFM2
485	O95967	EFEMP2
486	O95970	LGI1
487	O95971	CD160
488	O95972	BMP15
489	O95998	IL18BP
490	O96014	WNT11
491	P00450	CP
492	P00738	HP
493	P00747	PLG
494	P01019	AGT
495	P01042	KNG1
496	P01127	PDGFB
497	P01137	TGFB1
498	P01138	NGF
499	P01148	GNRH1
500	P01160	NPPA
501	P01178	OXT
502	P01185	AVP
503	P01189	POMC
504	P01210	PENK
505	P01213	PDYN
506	P01215	CGA
507	P01222	TSHB
508	P01225	FSHB
509	P01229	LHB
510	P01236	PRL
511	P01241	GH1
512	P01242	GH2
513	P01258	CALCA
514	P01266	TG
515	P01270	PTH
516	P01275	GCG
517	P01282	VIP
518	P01286	GHRH
519	P01298	PPY
520	P01303	NPY
521	P01308	INS
522	P01344	IGF2
523	P01350	GAST
524	P01562	IFNA1
525	P01563	IFNA2
526	P01566	IFNA10
527	P01567	IFNA7
528	P01568	IFNA21
529	P01569	IFNA5
530	P01570	IFNA14
531	P01571	IFNA17
532	P01574	IFNB1
533	P01579	IFNG
534	P01583	IL1A
535	P01584	IL1B
536	P01588	EPO
537	P02647	APOA1
538	P02649	APOE
539	P02652	APOA2
540	P02655	APOC2
541	P02656	APOC3
542	P02763	ORM1
543	P02766	TTR
544	P02774	GC
545	P02775	PPBP
546	P02776	PF4
547	P02778	CXCL10
548	P02786	TFRC
549	P02787	TF
550	P02790	HPX
551	P03950	ANG
552	P03971	AMH
553	P04004	VTN
554	P04085	PDGFA
555	P04090	RLN2
556	P04114	APOB
557	P04141	CSF2
558	P04155	TFF1
559	P04271	S100B
560	P04275	VWF
561	P04628	WNT1
562	P04808	RLN1
563	P05000	IFNW1
564	P05013	IFNA6
565	P05014	IFNA4
566	P05015	IFNA16
567	P05019	IGF1
568	P05090	APOD
569	P05109	S100A8
570	P05111	INHA
571	P05112	IL4
572	P05113	IL5
573	P05230	FGF1
574	P05231	IL6
575	P05305	EDN1
576	P05538	HLA-DQB2
577	P06307	CCK
578	P06702	S100A9
579	P06703	S100A6
580	P06727	APOA4
581	P06744	GPI
582	P06850	CRH
583	P06881	CALCA
584	P07202	TPO
585	P07306	ASGR1
586	P07477	PRSS1
587	P07478	PRSS2
588	P07492	GRP
589	P07585	DCN
590	P07942	LAMB1
591	P08118	MSMB
592	P08476	INHBA
593	P08519	LPA
594	P08620	FGF4
595	P08700	IL3
596	P08887	IL6R
597	P08949	NMB
598	P09038	FGF2
599	P09341	CXCL1
600	P09382	LGALS1
601	P09486	SPARC
602	P09529	INHBB
603	P09544	WNT2
604	P09681	GIP
605	P09683	SCT
606	P09919	CSF3
607	P0C0L5	C4B_2
608	P0C0P6	NPS
609	P0DJI8	SAA1
610	P0DMC3	APELA
611	P0DML2	CSH1
612	P0DML3	CSH2
613	P0DN86	CGB8
614	P0DN87	CGB7
615	P0DP57	SLURP2
616	P10082	PYY
617	P10092	CALCB
618	P10145	CXCL8
619	P10147	CCL3
620	P10451	SPP1
