Membrane proteins UniProt Membrane proteins Gene symbol
P14210 HGF
P14410 SI
P15018 LIF
P15248 IL9
P15509 CSF2RA
P15692 VEGFA
P16619 CCL3L1
P16860 NPPB
P17213 BPI
P17931 LGALS3
P18509 ADCYAP1
P18510 IL1RN
P19021 PAM
P19875 CXCL2
P19876 CXCL3
P19883 FST
P20061 TCN1
P20231 TPSB2
P20366 TAC1
P20382 PMCH
P20396 TRH
P20783 NTF3
P20800 EDN2
P20809 IL11
P21741 MDK
P21781 FGF7
P22003 BMP5
P22004 BMP6
P22301 IL10
P22362 CCL1
P22466 GAL
P23297 S100A1
P23560 BDNF
P23582 NPPC
P24001 IL32
P25311 AZGP1
P26447 S100A4
P26927 MST1
P27539 GDF1
P27918 CFP
P28799 GRN
P29350 PTPN6
P29459 IL12A
P29460 IL12B
P29597 TYK2
P30990 NTS
P31371 FGF9
P32881 IFNA8
P34130 NTF4
P34820 BMP8B
P35225 IL13
P35318 ADM
P37840 SNCA
P40222 TXLNA
P40225 THPO
P40933 IL15
P41159 LEP
P41161 ETV5
P42830 CXCL5
P47992 XCL1
P48029 SLC6A8
P48061 CXCL12
P48645 NMU
P49765 VEGFB
P49767 VEGFC
P49788 RARRES1
P51460 INSL3
P51671 CCL11
P52823 STC1
P55000 SLURP1
P55056 APOC4
P55075 FGF8
P55089 UCN
P55103 INHBC
P55107 GDF10
P55773 CCL23
P55774 CCL18
P58166 INHBE
P58294 PROK1
P58417 NXPH1
P58499 FAM3B
P60022 DEFB1
P60568 IL2
P60903 S100A10
P61278 SST
P61328 FGF12
P61366 OSTN
P67809 YBX1
P78556 CCL20
P80075 CCL8
P80098 CCL7
P80162 CXCL6
P80511 S100A12
P81277 PRLH
P81534 DEFB103A
P83859 QRFP
Q00604 NDP
Q00887 PSG9
Q00888 PSG4
Q00889 PSG6
Q02747 GUCA2A
Q03167 TGFBR3
Q03403 TFF2
Q07325 CXCL9
Q08648 SPAG11B
Q10586 DBP
Q12841 FSTL1
Q12904 AIMP1
Q13007 IL24
Q13046 PSG7
Q13129 RLF
Q13214 SEMA3B
Q13253 NOG
Q13261 IL15RA
Q13275 SEMA3F
Q13519 PNOC
Q14005 IL16
Q14011 CIRBP
Q14116 IL18
Q14213 EBI3
Q14406 CSHL1
Q14563 SEMA3A
Q14626 IL11RA
Q15238 PSG5
Q15389 ANGPT1
Q15466 NR0B2
Q15485 FCN2
Q15661 TPSAB1
Q15726 KISS1
Q15846 CLUL1
Q16552 IL17A
Q16619 CTF1
Q16627 CCL14
Q16661 GUCA2B
Q16663 CCL15
Q16674 MIA
Q1L6U9 MSMP
Q2WEN9 CEACAM16
Q4G0M1 ERFE
Q5H8A3 NMS
Q5JXA9 SIRPB2
Q5SRR4 LY6G5C
Q5T4F7 SFRP5
Q5T4W7 ARTN
Q6EBC2 IL31
Q6FHJ7 SFRP4
Q6ISS4 LAIR2
Q6KF10 GDF6
Q6UW32 IGFL1
Q6UWQ7 IGFL2
Q6UWT2 ENHO
Q6UX27 VSTM1
Q6UX46 ALKAL2
Q6UXB1 IGFL3
Q6UXB2 CXCL17
Q6UXB8 PI16
Q6UXN2 TREML4
Q6UXT8 ALKAL1
Q6X4U4 SOSTDC1
Q6X784 ZPBP2
Q6ZMJ4 IL34
Q765I0 UTS2B
Q7Z4H4 ADM2
Q7Z4P5 GDF7
Q7Z5Y6 BMP8A
Q86UU9 TAC4
Q86WN2 IFNE
Q86XS5 ANGPTL5
Q86YW7 GPHB5
Q8IU54 IFNL1
Q8IVG9 MT-RNR2
Q8IZD2 KMT2E
Q8IZI9 IFNL3
Q8IZJ0 IFNL2
Q8N104 DEFB106B
Q8N475 FSTL5
Q8N6C5 IGSF1
Q8N729 NPW
Q8NAU1 FNDC5
Q8NBI3 DRAXIN
Q8NBP7 PCSK9
Q8NEV9 IL27
Q8NG41 NPB
Q8NHW4 CCL4L1
Q8NI99 ANGPTL6
Q8TEU8 WFIKKN2
Q8WTQ1 DEFB104A
Q8WWZ1 IL1F10
Q8WXF3 RLN3
Q92520 FAM3C
Q92583 CCL17
Q92765 FRZB
Q92913 FGF13
Q92914 FGF11
Q92915 FGF14
Q969D9 TSLP
Q969E1 LEAP2
Q969E3 UCN3
Q96A98 PTH2
Q96BQ1 FAM3D
Q96LR4 TAFA4
Q96PD4 IL17F
Q96QR1 SCGB3A1
Q96RP3 UCN2
Q96S42 NODAL
Q96SZ5 ADO
Q99616 CCL13
Q99731 CCL19
Q99748 NRTN
Q99944 EGFL8
Q99985 SEMA3C
Q99988 GDF15
Q9BT56 SPX
Q9BUR5 APOO
Q9GZP0 PDGFD
Q9GZV9 FGF23
Q9GZX6 IL22
Q9GZZ8 LACRT
Q9H293 IL25
Q9H2X0 CHRD
Q9HBE4 IL21
Q9HC23 PROK2
Q9HC73 CRLF2
Q9HCQ7 NPVF
Q9HCT0 FGF22
Q9HD89 RETN
Q9NP95 FGF20
Q9NPF7 IL23A
Q9NPH9 IL26
Q9NQ36 SCUBE2
Q9NR23 GDF3
Q9NRI6 PYY2
Q9NRJ3 CCL28
Q9NRR1 CYTL1
Q9NS98 SEMA3G
Q9NSA1 FGF21
Q9NY56 OBP2A
Q9NYY1 IL20
Q9NZH6 IL37
Q9NZH7 IL36B
Q9NZH8 IL36G
Q9P0M4 IL17C
Q9P0W0 IFNK
Q9UBC7 GALP
Q9UBD3 XCL2
Q9UBD9 CLCF1
Q9UBH0 IL36RN
Q9UBP4 DKK3
Q9UBT3 DKK4
Q9UBU2 DKK2
Q9UBU3 GHRL
Q9UHA7 IL36A
Q9UHD0 IL19
Q9UHF0 TAC3
Q9UHF5 IL17B
Q9UHG2 PCSK1N
Q9UK05 GDF2
Q9UKU9 ANGPTL2
Q9ULZ1 APLN
Q9Y240 CLEC11A
Q9Y258 CCL26
Q9Y264 ANGPT4
Q9Y4X3 CCL27
Q9Y5C1 ANGPTL3
Q9Y5Q6 INSL5
Q9Y5W5 WIF1
Q9Y5W7 SNX14
Q9Y6Y9 LY96
Q6P988 NOTUM
P09958 FURIN
Q14512 FGFBP1
Q6YHK3 CD109
O15496 PLA2G10
P00746 CFD
P05156 CFI
P07339 CTSD
P10144 GZMB
P12724 RNASE3
P20718 GZMH
P23946 CMA1
P24158 PRTN3
Q92876 KLK6
Q9Y5K2 KLK4
P02741 CRP
Q8WUM4 PDCD6IP
COMPLEX:P17948_P35968 FLT1_KDR
COMPLEX:P35916_P35968 FLT4_KDR
Q6DN72 FCRL6
Q16620 NTRK2
Q86VH5 LRRTM3
COMPLEX:P27037_P37023 ACVR2A_ACVRL1
COMPLEX:P37023_Q13873 ACVRL1_BMPR2
O00144 FZD9
Q14332 FZD2
Q9ULW2 FZD10
COMPLEX:Q13635_Q99835 PTCH1_SMO
COMPLEX:Q99835_Q9Y6C5 PTCH2_SMO
COMPLEX:O00144_O75197 FZD9_LRP5
COMPLEX:O00238_P27037 ACVR2A_BMPR1B
COMPLEX:O00238_Q13705 ACVR2B_BMPR1B
COMPLEX:O00238_Q13873 BMPR1B_BMPR2
COMPLEX:O60353_O75197 FZD6_LRP5
COMPLEX:O75084_O75197 FZD7_LRP5
COMPLEX:O75197_Q13467 FZD5_LRP5
COMPLEX:O75197_Q14332 FZD2_LRP5
COMPLEX:O75197_Q9H461 FZD8_LRP5
COMPLEX:O75197_Q9NPG1 FZD3_LRP5
COMPLEX:O75197_Q9ULV1 FZD4_LRP5
COMPLEX:O75197_Q9ULW2 FZD10_LRP5
COMPLEX:P27037_P36894 ACVR2A_BMPR1A
COMPLEX:P27037_P36896 ACVR1B_ACVR2A
COMPLEX:P27037_Q04771 ACVR1_ACVR2A
COMPLEX:P27037_Q8NER5 ACVR1C_ACVR2A
COMPLEX:P36894_Q13705 ACVR2B_BMPR1A
COMPLEX:P36894_Q13873 BMPR1A_BMPR2
COMPLEX:P36896_P37173 ACVR1B_TGFBR2
COMPLEX:P36896_Q13705 ACVR1B_ACVR2B
COMPLEX:P36897_P37173 TGFBR1_TGFBR2
COMPLEX:P37173_Q8NER5 ACVR1C_TGFBR2
COMPLEX:Q04771_Q13705 ACVR1_ACVR2B
COMPLEX:Q04771_Q13873 ACVR1_BMPR2
COMPLEX:Q13705_Q8NER5 ACVR1C_ACVR2B
O75578 ITGA10
P26010 ITGB7
P53708 ITGA8
Q7L0J3 SV2A
Q9UKX5 ITGA11
Q96LC7 SIGLEC10
Q8N7C0 LRRC52
Q8IYS5 OSCAR
Q8WZ75 ROBO4
COMPLEX:P05556_P23229 ITGA6_ITGB1
P31994 FCGR2B
COMPLEX:P05556_P17301 ITGA2_ITGB1
COMPLEX:P05556_P56199 ITGA1_ITGB1
COMPLEX:P05556_Q13683 ITGA7_ITGB1
COMPLEX:P16144_P23229 ITGA6_ITGB4
COMPLEX:P07359_P13224 GP1BA_GP1BB
COMPLEX:P05556_P26006 ITGA3_ITGB1
Q93038 TNFRSF25
P78380 OLR1
Q13873 BMPR2
Q16671 AMHR2
Q01650 SLC7A5
Q86TY3 ARMH4
P0DPA2 VSIG8
Q24JP5 TMEM132A
O95858 TSPAN15
O95859 TSPAN12
Q14956 GPNMB
Q8NG11 TSPAN14
Q92823 NRCAM
Q96FV3 TSPAN17
Q9H1Z9 TSPAN10
COMPLEX:O75578_P05556 ITGA10_ITGB1
COMPLEX:P05107_P06756 ITGAV_ITGB2
COMPLEX:P05556_P53708 ITGA8_ITGB1
COMPLEX:P05556_Q9UKX5 ITGA11_ITGB1
COMPLEX:P06756_P18084 ITGAV_ITGB5
COMPLEX:P06756_P18564 ITGAV_ITGB6
COMPLEX:P06756_P26012 ITGAV_ITGB8
COMPLEX:P26010_P38570 ITGAE_ITGB7
P17405 SMPD1
Q9BXB1 LGR4
Q5ZPR3 CD276
P18827 SDC1
P50895 BCAM
Q6UXZ4 UNC5D
Q6ZN44 UNC5A
Q8IZJ1 UNC5B
Q86VB7 CD163
Q9UHM6 OPN4
Q01151 CD83
Q6W4X9 MUC6
P20916 MAG
Q496F6 CD300E
Q9P2B2 PTGFRN
O60487 MPZL2
Q8N131 TMEM123
O75197 LRP5
COMPLEX:P78357_Q12860 CNTN1_CNTNAP1
P51686 CCR9
P13945 ADRB3
P32241 VIPR1
P34998 CRHR1
P43220 GLP1R
Q8N387 MUC15
O75509 TNFRSF21
Q01638 IL1RL1
P01857 IGHG1
P19634 SLC9A1
P23469 PTPRE
Q16790 CA9
Q8NFJ5 GPRC5A
O75023 LILRB5
O75074 LRP3
O75096 LRP4
P14222 PRF1
Q07011 TNFRSF9
P09693 CD3G
P20963 CD247
O43561 LAT
Q6UXK2 ISLR2
A6NJW9 CD8B2
O43908 KLRC4
P26715 KLRC1
P26717 KLRC2
P43626 KIR2DL1
P43627 KIR2DL2
P43628 KIR2DL3
Q07444 KLRC3
Q14953 KIR2DS5
Q14954 KIR2DS1
Q8N109 KIR2DL5A
Q8N743 KIR3DL3
P11049 CD37
P18627 LAG3
Q6GTX8 LAIR1
Q9NPY3 CD93
P30953 OR1E1
COMPLEX:P05556_P06756 ITGAV_ITGB1
P21730 C5AR1
P29376 LTK
Q99527 GPER1
P01024 C3
Q9UP52 TFR2
COMPLEX:P25089_P25090 FPR2_FPR3
P08913 ADRA2A
P25089 FPR3
P46092 CCR10
P07766 CD3E
P50052 AGTR2
P43116 PTGER2
Q7Z4F1 LRP10
P20702 ITGAX
O95297 MPZL1
P05023 ATP1A1
P08922 ROS1
P14616 INSRR
P60484 PTEN
Q9BX66 SORBS1
Q9UKV5 AMFR
P36888 FLT3
P32248 CCR7
Q13510 ASAH1
O00451 GFRA2
Q9GZZ7 GFRA4
Q8WTV0 SCARB1
P30411 BDKRB2
Q03431 PTH1R
Q9UM73 ALK
P17927 CR1
Q9UHX3 ADGRE2
Q15399 TLR1
P21554 CNR1
Q8N307 MUC20
Q86SU0 ILDR1
Q8N967 LRTM2
P43631 KIR2DS2
O00241 SIRPB1
Q5TFQ8 SIRPB1
Q6PJG9 LRFN4
Q9P244 LRFN1
Q3KNT9 TMEM95
Q86X29 LSR
P04070 PROC
Q5VY43 PEAR1
P38570 ITGAE
Q9UKB5 AJAP1
Q86T13 CLEC14A
Q8TDQ0 HAVCR2
COMPLEX:P26715_Q13241 KLRC1_KLRD1
COMPLEX:P26717_Q13241 KLRC2_KLRD1
COMPLEX:Q07444_Q13241 KLRC3_KLRD1
Q8TCZ2 CD99L2
P16422 EPCAM
COMPLEX:P07359_P13224_P14770_P40197 GP1BA_GP1BB_GP5_GP9
Q9UN71 PCDHGB4
O95944 NCR2
Q8N766 EMC1
P0C7U0 ELFN1
COMPLEX:P19320_P26010 ITGB7_VCAM1
Q13349 ITGAD
Q8IZU9 KIRREL3
P31949 S100A11
Q5JZY3 EPHA10
P04054 PLA2G1B
O00560 SDCBP
O60894 RAMP1
Q15256 PTPRR
Q969P0 IGSF8
P08172 CHRM2
P08173 CHRM4
Q17R55 FAM187B
Q8IW52 SLITRK4
P78552 IL13RA1
Q9NS75 CYSLTR2
Q9Y271 CYSLTR1
Q96IY4 CPB2
COMPLEX:Q12933_Q13114 TRAF2_TRAF3
P36896 ACVR1B
Q04771 ACVR1
P07237 P4HB
Q14162 SCARF1
P04217 A1BG
Q86VR7 VSIG10L
Q96PL2 TECTB
Q9H2X3 CLEC4M
Q9NZH0 GPRC5B
P55287 CDH11
P41231 P2RY2
O14718 RRH
COMPLEX:O00451_P07949 GFRA2_RET
COMPLEX:P07949_P56159 GFRA1_RET
Q8N0Z9 VSIG10
Q6Q8B3 CD200R1L
Q86YW5 TREML1
Q07021 C1QBP
A8MVS5 HIDE1
Q96GX1 TCTN2
Q8N149 LILRA2
Q96DD7 SHISA4
Q9H665 IGFLR1
O75473 LGR5
O75787 ATP6AP2
A6NLU5 VSTM2B
P56749 CLDN12
P62937 PPIA
O95857 TSPAN13
Q6PJF5 RHBDF2
Q96LB0 MRGPRX3
Q99523 SORT1
Q86SJ6 DSG4
Q86UK5 EVC2
Q8WWA0 ITLN1
Q96A28 SLAMF9
Q9HBG7 LY9
P32926 DSG3
Q8IU57 IFNLR1
P30408 TM4SF1
Q9NSI5 IGSF5
Q07699 SCN1B
P59901 LILRA4
Q9Y5E2 PCDHB7
P51805 PLXNA3
P78333 GPC5
Q8NER5 ACVR1C
Q96AP7 ESAM
P28223 HTR2A
Q8IW00 VSTM4
Q9UBK5 HCST
Q8IZF2 ADGRF5
Q9H6X2 ANTXR1
Q9UPX0 IGSF9B
P47872 SCTR
Q9BX97 PLVAP
COMPLEX:O43914_Q9NZC2_Q9UIW2 PLXNA1_TREM2_TYROBP
COMPLEX:P35968_Q9UIW2 KDR_PLXNA1
COMPLEX:Q9NZC2_Q9UIW2 PLXNA1_TREM2
Q58EX2 SDK2
Q9UNE0 EDAR
P47869 GABRA2
Q6UXG3 CD300LG
Q6P1J6 PLB1
O75445 USH2A
O00463 TRAF5
P01854 IGHE
P30273 FCER1G
COMPLEX:P00533_P04626 EGFR_ERBB2
COMPLEX:P04626_Q15303 ERBB2_ERBB4
Q96J84 KIRREL1
P78357 CNTNAP1
COMPLEX:O14786_O75051 NRP1_PLXNA2
COMPLEX:O14786_P51805 NRP1_PLXNA3
COMPLEX:O14786_Q9HCM2 NRP1_PLXNA4
COMPLEX:O14786_Q9UIW2 NRP1_PLXNA1
Q86VH4 LRRTM4
Q7Z6M3 MILR1
Q9BY14 TEX101
Q9ULH4 LRFN2
Q9Y5G6 PCDHGA7
Q96PQ1 SIGLEC12
Q86SJ2 AMIGO2
Q9H3W5 LRRN3
Q9UPZ6 THSD7A
Q86Y78 LYPD6
Q9Y561 LRP12
Q96PE1 ADGRA2
Q8IUK5 PLXDC1
O60330 PCDHGA12
Q9UN70 PCDHGC3
Q9Y5F6 PCDHGC5
Q9Y5F7 PCDHGC4
Q9Y5F8 PCDHGB7
Q9Y5G0 PCDHGB5
Q9Y5G1 PCDHGB3
Q9Y5G2 PCDHGB2
Q9Y5G3 PCDHGB1
Q9Y5G4 PCDHGA9
Q9Y5G5 PCDHGA8
Q9Y5G7 PCDHGA6
Q9Y5G8 PCDHGA5
Q9Y5G9 PCDHGA4
Q9Y5H0 PCDHGA3
Q9Y5H1 PCDHGA2
Q9Y5H2 PCDHGA11
Q9Y5H3 PCDHGA10
Q9Y5H4 PCDHGA1
COMPLEX:P04626_P21860 ERBB2_ERBB3
O94910 ADGRL1
Q9Y2T6 GPR55
Q5KU26 COLEC12
Q9UBG0 MRC2
P13637 ATP1A3
COMPLEX:P00533_Q15303 EGFR_ERBB4
P23945 FSHR
P98153 DGCR2
Q5VU97 CACHD1
O15552 FFAR2
P08183 ABCB1
P09429 HMGB1
P36222 CHI3L1
P98088 MUC5AC
Q9HCU4 CELSR2
Q9UJ42 GPR160
Q9NYQ7 CELSR3
COMPLEX:P36897_P37173_Q04771 ACVR1_TGFBR1_TGFBR2
COMPLEX:P36897_Q04771 ACVR1_TGFBR1
COMPLEX:P37173_Q04771 ACVR1_TGFBR2
P01871 IGHM
Q14627 IL13RA2
Q8IZF4 ADGRG5
P51684 CCR6
Q9UBN6 TNFRSF10D
P06126 CD1A
P29017 CD1C
O00574 CXCR6
P25024 CXCR1
P32302 CXCR5
P46094 XCR1
P49238 CX3CR1
P49682 CXCR3
P51677 CCR3
P51685 CCR8
Q9NYK1 TLR7
Q6UXH8 CCBE1
Q9HCK4 ROBO2
Q96FE5 LINGO1
P08637 FCGR3A
P11166 SLC2A1
P28300 LOX
Q6EMK4 VASN
Q8TE57 ADAMTS16
Q9UBX5 FBLN5
Q9Y653 ADGRG1
P00451 F8
Q6ZMJ2 SCARA5
Q8WWQ8 STAB2
O00254 F2RL2
Q96RI0 F2RL3
P35408 PTGER4
P02746 C1QB
COMPLEX:O00238_P36894_Q13873 BMPR1A_BMPR1B_BMPR2
P0CG37 CFC1
Q9H772 GREM2
Q9Y6N8 CDH10
Q6UX71 PLXDC2
P49286 MTNR1B
Q15077 P2RY6
O15529 GPR42
P07307 ASGR2
P34972 CNR2
Q86V24 ADIPOR2
Q8NFJ6 PROKR2
Q8TDT2 GPR152
Q96A54 ADIPOR1
COMPLEX:O75197_O75473 LGR5_LRP5
COMPLEX:O75197_Q9BXB1 LGR4_LRP5
Q9HBX8 LGR6
Q16623 STX1A
P11279 LAMP1
P13473 LAMP2
O00421 CCRL2
Q99788 CMKLR1
Q9HCU0 CD248
P03951 F11
P07204 THBD
P03952 KLKB1
P00797 REN
P04201 MAS1
P07288 KLK3
P46663 BDKRB1
Q8IZ08 GPR135
Q8TDU9 RXFP4
P20151 KLK2
P10323 ACR
P00736 C1R
Q16651 PRSS8
P06870 KLK1
P33527 ABCC1
COMPLEX:P26992_P40189 CNTFR_IL6ST
COMPLEX:P26992_P40189_P42702 CNTFR_IL6ST_LIFR
COMPLEX:P42701_Q99665 IL12RB1_IL12RB2
COMPLEX:P40189_Q99665 IL12RB2_IL6ST
COMPLEX:Q6UWB1_Q99665 IL12RB2_IL27RA
COMPLEX:P42701_Q5VWK5 IL12RB1_IL23R
COMPLEX:P40189_Q6UWB1 IL27RA_IL6ST
COMPLEX:Q8NAC3_Q96F46 IL17RA_IL17RC
P30872 SSTR1
P30874 SSTR2
P31391 SSTR4
P32745 SSTR3
P35346 SSTR5
Q92847 GHSR
Q96LB1 MRGPRX2
O75882 ATRN
P32245 MC4R
P33032 MC5R
P41968 MC3R
Q01726 MC1R
Q9NPB9 ACKR4
P26951 IL3RA
Q01344 IL5RA
Q6UXL0 IL20RB
Q8N6P7 IL22RA1
Q969J5 IL22RA2
Q99665 IL12RB2
Q9HBE5 IL21R
COMPLEX:P27037_P36897 ACVR2A_TGFBR1
COMPLEX:P36897_Q13705 ACVR2B_TGFBR1
Q9GZQ6 NPFFR1
Q9Y5X5 NPFFR2
Q9H3N8 HRH4
Q96P88 GNRHR2
O43613 HCRTR1
O43614 HCRTR2
COMPLEX:P36896_Q13873 ACVR1B_BMPR2
COMPLEX:P36897_Q13873 BMPR2_TGFBR1
Q9H0Q3 FXYD6
COMPLEX:P07949_Q9GZZ7 GFRA4_RET
COMPLEX:O60462_O75051 NRP2_PLXNA2
COMPLEX:O60462_P51805 NRP2_PLXNA3
COMPLEX:O60462_Q9HCM2 NRP2_PLXNA4
COMPLEX:O60462_Q9UIW2 NRP2_PLXNA1
COMPLEX:P37023_Q13705 ACVR2B_ACVRL1
Q9UKP6 UTS2R
COMPLEX:Q01638_Q9NPH3 IL1RAP_IL1RL1
P07306 ASGR1
COMPLEX:P09619_P16234 PDGFRA_PDGFRB
Q96PQ0 SORCS2
P16066 NPR1
P17342 NPR3
P30559 OXTR
P37288 AVPR1A
P47901 AVPR1B
O60895 RAMP2
O60896 RAMP3
P41586 ADCYAP1R1
Q99678 GPR20
Q9NQS5 GPR84
P41145 OPRK1
P41146 OPRL1
Q01718 MC2R
Q96LA9 MRGPRX4
Q96LB2 MRGPRX1
Q9NZT2 OGFR
P22303 ACHE
Q16602 CALCRL
P49190 PTH2R
O95838 GLP2R
P48546 GIPR
P08588 ADRB1
P41587 VIPR2
Q02643 GHRHR
P25929 NPY1R
P49146 NPY2R
P50391 NPY4R
Q15761 NPY5R
Q99463 NPY6R
Q9NYM4 GPR83
P49683 PRLHR
P01860 IGHG3
P07098 LIPF
COMPLEX:P15260_P38484 IFNGR1_IFNGR2
P47989 XDH
COMPLEX:P01584_P14778_Q9NPH3 IL1B_IL1R1_IL1RAP
COMPLEX:P01584_P27930_Q9NPH3 IL1B_IL1R2_IL1RAP
COMPLEX:P14778_Q9NPH3 IL1R1_IL1RAP
COMPLEX:P27930_Q9NPH3 IL1R2_IL1RAP
P41222 PTGDS
Q6IA17 SIGIRR
Q8IUI8 CRLF3
P27169 PON1
COMPLEX:O00238_Q16671 AMHR2_BMPR1B
COMPLEX:P36894_Q16671 AMHR2_BMPR1A
COMPLEX:Q04771_Q16671 ACVR1_AMHR2
Q8WXD0 RXFP2
Q9HBX9 RXFP1
Q9NSD7 RXFP3
COMPLEX:P15509_P32927 CSF2RA_CSF2RB
P16870 CPE
P19113 HDC
Q13093 PLA2G7
P34810 CD68
COMPLEX:P24394_P31785 IL2RG_IL4R
COMPLEX:P24394_P78552 IL13RA1_IL4R
COMPLEX:P24394_Q14627 IL13RA2_IL4R
COMPLEX:P32927_Q01344 CSF2RB_IL5RA
COMPLEX:P05231_P08887_P40189 IL6_IL6R_IL6ST
COMPLEX:P08887_P40189 IL6R_IL6ST
P35367 HRH1
P42892 ECE1
Q9HBW9 ADGRL4
P32238 CCKAR
Q13324 CRHR2
COMPLEX:O60894_Q16602 CALCRL_RAMP1
COMPLEX:O60895_Q16602 CALCRL_RAMP2
COMPLEX:O60896_Q16602 CALCRL_RAMP3
P0DMV8 HSPA1A
P28336 NMBR
P30550 GRPR
P32247 BRS3
COMPLEX:P26951_P32927 CSF2RB_IL3RA
P0CG36 CFC1B
Q6UX06 OLFM4
Q6W5P4 NPSR1
P35414 APLNR
P32297 CHRNA3
P43088 PTGFR
O43193 MLNR
COMPLEX:P16871_P31785 IL2RG_IL7R
Q9NZD1 GPRC5D
O95800 GPR75
COMPLEX:P40189_P42702 IL6ST_LIFR
COMPLEX:P40189_Q99650 IL6ST_OSMR
COMPLEX:P04233_P16070 CD44_CD74
COMPLEX:P31785_Q01113 IL2RG_IL9R
Q9HB29 IL1RL2
O00168 FXYD1
P21452 TACR2
Q969V1 MCHR2
Q99705 MCHR1
P34981 TRHR
COMPLEX:P40189_Q14626 IL11RA_IL6ST
Q8N158 GPC2
P14679 TYR
COMPLEX:Q08334_Q13651 IL10RA_IL10RB
O43603 GALR2
O60755 GALR3
P47211 GALR1
Q8TDV0 GPR151
P21917 DRD4
P34995 PTGER1
Q5QGZ9 CLEC12A
O95665 NTSR2
P30989 NTSR1
Q86XT9 TMEM219
O15218 GPR182
P14735 IDE
COMPLEX:P14784_P31785_Q13261 IL15RA_IL2RB_IL2RG
COMPLEX:P14784_Q13261 IL15RA_IL2RB
P14672 SLC2A4
Q9GZQ4 NMUR2
Q9HB89 NMUR1
Q9Y5Y7 LYVE1
Q8TCW9 PROKR1
COMPLEX:P01589_P14784_P31785 IL2RA_IL2RB_IL2RG
COMPLEX:P14784_P31785 IL2RB_IL2RG
COMPLEX:P31785_Q6UXL0_Q9UHF4 IL20RA_IL20RB_IL2RG
P15421 GYPE
Q6UWB1 IL27RA
Q15391 P2RY14
Q96P65 QRFPR
P25092 GUCY2C
COMPLEX:Q6UXL0_Q8N6P7 IL20RB_IL22RA1
COMPLEX:Q6UXL0_Q9UHF4 IL20RA_IL20RB
P22001 KCNA3
COMPLEX:O95256_Q13478 IL18R1_IL18RAP
O95256 IL18RAP
Q14517 FAT1
Q969F8 KISS1R
Q9H159 CDH19
Q9ULB5 CDH7
O75443 TECTA
Q9HCN3 PGAP6
COMPLEX:O60609_P07949 GFRA3_RET
COMPLEX:Q8NI17_Q99650 IL31RA_OSMR
Q8NI17 IL31RA
Q15760 GPR19
Q86Y34 ADGRG3
Q9HC97 GPR35
COMPLEX:Q08334_Q8IU57 IFNLR1_IL10RB
Q7Z692 CEACAM19
P48145 NPBWR1
P48146 NPBWR2
Q96P66 GPR101
COMPLEX:Q9HB29_Q9NPH3 IL1RAP_IL1RL2
COMPLEX:P16871_Q969D9_Q9HC73 CRLF2_IL7R_TSLP
COMPLEX:P16871_Q9HC73 CRLF2_IL7R
P0DMS8 ADORA3
COMPLEX:O14786_O60462 NRP1_NRP2
COMPLEX:O14786_O60462_Q9Y4D7 NRP1_NRP2_PLXND1
Q6UXV0 GFRAL
COMPLEX:Q08334_Q8N6P7 IL10RB_IL22RA1
COMPLEX:Q96F46_Q9NRM6 IL17RA_IL17RB
Q9NRM6 IL17RB
COMPLEX:P31785_Q9HBE5 IL21R_IL2RG
O00155 GPR25
COMPLEX:Q08334_Q9UHF4 IL10RB_IL20RA
P47890 OR1G1
COMPLEX:Q13478_Q6IA17 IL18R1_SIGIRR
COMPLEX:Q8NFR9_Q96F46 IL17RA_IL17RE
Q8NFR9 IL17RE
O43194 GPR39
P43115 PTGER3
O14626 GPR171
P58335 ANTXR2
Q8WY21 SORCS1
Q13018 PLA2R1
P00751 CFB
