Membrane proteins UniProt Membrane proteins Gene symbol
P28221 HTR1D
P28222 HTR1B
P28827 PTPRM
P28906 CD34
P28908 TNFRSF8
P29016 CD1B
P29274 ADORA2A
P29275 ADORA2B
P29317 EPHA2
P29320 EPHA3
P29322 EPHA8
P29323 EPHB2
P30203 CD6
P30511 HLA-F
P30518 AVPR2
P30530 AXL
P30542 ADORA1
P30556 AGTR1
P31431 SDC4
P31785 IL2RG
P31997 CEACAM8
P32004 L1CAM
P32239 CCKBR
P32246 CCR1
P32927 CSF2RB
P32942 ICAM3
P32970 CD70
P32971 TNFSF8
P33151 CDH5
P33681 CD80
P34741 SDC2
P35052 GPC1
P35348 ADRA1A
P35368 ADRA1B
P35372 OPRM1
P35442 THBS2
P35443 THBS4
P35590 TIE1
P35613 BSG
P35916 FLT4
P35968 KDR
P36894 BMPR1A
P36897 TGFBR1
P36941 LTBR
P37023 ACVRL1
P37173 TGFBR2
P38484 IFNGR2
P39060 COL18A1
P39905 GDNF
P40189 IL6ST
P40197 GP5
P40198 CEACAM3
P40199 CEACAM6
P40200 CD96
P40238 MPL
P40259 CD79B
P41217 CD200
P41594 GRM5
P41597 CCR2
P42081 CD86
P42701 IL12RB1
P42702 LIFR
P43119 PTGIR
P43121 MCAM
P43146 DCC
P43489 TNFRSF4
P43629 KIR3DL1
P43630 KIR3DL2
P43632 KIR2DS4
P46531 NOTCH1
P47871 GCGR
P48023 FASLG
P48039 MTNR1A
P48357 LEPR
P48509 CD151
P48551 IFNAR2
P48960 ADGRE5
P49746 THBS3
P49763 PGF
P50281 MMP14
P50406 HTR6
P51511 MMP15
P51512 MMP16
P51679 CCR4
P51681 CCR5
P51693 APLP1
P52798 EFNA4
P52799 EFNB2
P52803 EFNA5
P54753 EPHB3
P54756 EPHA5
P54760 EPHB4
P54762 EPHB1
P54764 EPHA4
P55085 F2RL1
P55268 LAMB2
P55285 CDH6
P55290 CDH13
P55291 CDH15
P55899 FCGRT
P56159 GFRA1
P56199 ITGA1
P56704 WNT3A
P57087 JAM2
P58400 NRXN1
P58401 NRXN2
P60033 CD81
P61073 CXCR4
P62079 TSPAN5
P63092 GNAS
P78310 CXADR
P78324 SIRPA
P78410 BTN3A2
P78504 JAG1
P78509 RELN
P78536 ADAM17
P80370 DLK1
P84996 GNAS
P98155 VLDLR
P98160 HSPG2
P98172 EFNB1
Q01113 IL9R
Q02223 TNFRSF17
Q02246 CNTN2
Q02413 DSG1
Q02487 DSC2
Q02763 TEK
Q02846 GUCY2D
Q03405 PLAUR
Q04721 NOTCH2
Q04912 MST1R
Q06418 TYRO3
Q06481 APLP2
Q06643 LTB
Q07954 LRP1
Q08334 IL10RB
Q08345 DDR1
Q08380 LGALS3BP
Q08554 DSC1
Q08708 CD300C
Q08722 CD47
Q08ET2 SIGLEC14
Q10589 BST2
Q12860 CNTN1
Q12866 MERTK
Q12884 FAP
Q12913 PTPRJ
Q12918 KLRB1
Q12933 TRAF2
Q13241 KLRD1
Q13255 GRM1
Q13258 PTGDR
Q13308 PTK7
Q13332 PTPRS
Q13443 ADAM9
Q13444 ADAM15
Q13449 LSAMP
Q13467 FZD5
Q13477 MADCAM1
Q13478 IL18R1
Q13591 SEMA5A
Q13635 PTCH1
Q13639 HTR4
Q13651 IL10RA
Q13683 ITGA7
Q13705 ACVR2B
Q13740 ALCAM
Q13751 LAMB3
Q13753 LAMC2
Q13797 ITGA9
